"Date","XCS","XMV","XRE","XCB","XUT","BNS","XIU","XSP","CSU","CNR","XIT","XCV","CM","XIC","XFN","XMA","XLB","RY","BB","XEG","XCG","XBB","XGB","XST","XIN","XGD","XSB","WFG","PUMA","XMD","XDV","AC","MFC"
2013-01-02,12.912298,16.790197,10.382984,14.92847,13.797313,17.402666,13.235572,14.445525,109.427452,37.53371,6.959272,14.590462,23.238453,14.552432,16.863846,16.239002,15.740746,39.232201,11.57,11.789119,19.516697,22.803059,16.464115,23.210432,13.93739,17.472527,22.144222,33.446518,2.5,17.207819,13.54493,1.78,8.744009
2013-01-03,12.782743,16.57394,10.237767,14.921483,13.83056,17.354248,13.176979,14.436836,109.363571,37.475815,6.959272,14.547885,23.435688,14.464229,16.884903,15.79841,15.625754,39.361897,11.35,11.789119,19.368633,22.744694,16.433823,23.070719,13.914429,16.839325,22.144222,32.979225,2.5,17.040829,13.570153,1.78,8.916711
2013-01-04,12.929573,16.597113,10.280121,14.9145,13.850514,17.429909,13.242907,14.515063,108.551018,37.451008,7.014417,14.633041,23.54011,14.552432,16.976219,15.879337,15.632526,39.60183,11.85,11.923766,19.481857,22.730104,16.426226,23.117289,14.013929,16.857683,22.121183,33.379108,2.5,17.13625,13.6206,1.77,8.967883
2013-01-07,12.998665,16.62801,10.31038,14.9145,13.890412,17.448071,13.169657,14.462913,109.55526,37.484085,7.014417,14.618846,23.508205,14.493636,16.962164,15.744459,15.625754,39.433228,11.76,11.886366,19.394762,22.730104,16.41865,22.996206,13.914429,16.591553,22.136547,33.698116,2.4,17.168062,13.614289,1.86,8.97428
2013-01-08,12.99003,16.57394,10.304325,14.942458,13.83056,17.48439,13.162329,14.419454,109.600937,37.562649,7.058534,14.547885,23.479193,14.500982,16.969191,15.771434,15.673117,39.290569,11.78,11.789119,19.394762,22.795767,16.441389,22.92169,13.83024,16.64662,22.151909,34.443962,2.5,17.160107,13.60799,1.99,9.204556
2013-01-09,13.015938,16.57394,10.322475,14.949443,13.897058,17.43899,13.19163,14.454219,110.468231,37.765282,7.025446,14.597558,23.746031,14.523031,16.997282,15.771434,15.67988,39.524021,11.4,11.811559,19.507986,22.788462,16.448959,22.82855,13.945045,16.573202,22.17495,34.372074,2.4,17.183968,13.6206,2.14,9.038248
2013-01-10,13.024578,16.697508,10.32853,14.935463,13.963544,17.420834,13.294176,14.558519,109.41832,38.062988,7.124707,14.65433,23.772139,14.618582,16.990263,16.086149,15.632526,39.478626,11.79,11.863922,19.682165,22.759285,16.41865,22.912374,14.029233,16.921925,22.144222,34.367588,2.4,17.255531,13.658439,2.12,9.012659
2013-01-11,12.99003,16.728411,10.322475,14.921483,14.036695,17.435965,13.286851,14.567208,113.453598,38.356579,7.41146,14.590462,23.751839,14.618582,16.983238,16.032198,15.625754,39.4916,13.31,11.848965,19.725706,22.788462,16.426226,23.033457,14.059853,16.87603,22.136547,34.205837,2.4,17.255531,13.652128,2.09,9.07023
2013-01-14,13.007306,16.751581,10.346679,14.949443,14.0101,17.445044,13.301499,14.541139,113.617943,38.464092,7.598952,14.647241,23.78664,14.618582,17.011328,15.996234,15.605473,39.569401,14.7,11.804079,19.760542,22.766573,16.426226,23.089344,14.082812,16.820974,22.136547,34.421497,2.4,17.247581,13.67736,2.15,9.15978
2013-01-15,13.033217,16.797915,10.389035,14.956423,14.143086,17.4632,13.367423,14.575898,115.361694,38.716324,7.510721,14.682722,23.844658,14.670027,17.039425,16.095135,15.666343,39.712059,14.27,11.848965,19.751835,22.803059,16.441389,23.182489,14.090466,16.976982,22.144222,33.832905,2.4,17.287336,13.721489,2.3,9.03185
2013-01-16,13.08504,16.782469,10.419291,14.984386,14.15639,17.378456,13.323469,14.575898,114.576553,38.865189,7.554836,14.668526,23.85046,14.633277,17.018356,15.987232,15.733986,39.614799,14.55,11.804079,19.682165,22.832228,16.471684,23.191803,14.013929,16.903564,22.17495,34.349613,2.3,17.239618,13.727799,2.29,8.955091
2013-01-17,13.145498,16.844254,10.42534,14.956423,14.216224,17.378456,13.374745,14.67151,114.823074,38.78249,7.643069,14.774974,23.873657,14.714122,17.109663,16.00522,15.659578,39.841766,14.68,11.871401,19.734409,22.781172,16.411085,23.368763,14.174661,16.839325,22.151909,35.243729,2.3,17.374807,13.828696,2.36,9.03185
2013-01-18,13.18868,16.93693,10.382984,14.970409,14.249476,17.511627,13.44067,14.706278,114.886955,39.084351,7.830561,14.874318,24.073788,14.780275,17.229073,16.032198,15.693403,40.036301,15.71,11.931247,19.838923,22.810345,16.433823,23.098661,14.220576,16.931099,22.167274,35.50882,2.3,17.382759,13.935886,2.4,9.146986
2013-01-21,13.154136,16.960104,10.419291,14.970409,14.302663,17.656897,13.550534,14.76712,113.873581,39.183582,7.973937,14.931102,24.218815,14.846419,17.341442,16.095135,15.666343,40.178967,17.41,11.968651,19.899887,22.788462,16.441389,23.107971,14.197618,17.068748,22.144222,35.648117,2.3,17.502037,13.992642,2.44,9.236538
2013-01-22,13.214592,16.967825,10.419291,14.949443,14.329265,17.675068,13.57983,14.775811,114.165733,38.774212,7.995994,14.973674,24.143402,14.883174,17.397631,16.283962,15.666343,40.440891,17.74,12.013532,19.899887,22.788462,16.456532,23.098661,14.15935,17.206404,22.17495,36.753403,2.3,17.478184,13.992642,2.4,9.396447
2013-01-23,13.18868,16.998711,10.443494,15.005345,14.362508,17.620583,13.543212,14.810578,110.459091,38.720467,7.951879,14.987863,24.178204,14.86112,17.362526,16.095135,15.747512,40.231354,17.299999,12.013532,19.952141,22.868708,16.479265,23.024145,14.167003,16.87603,22.205671,36.62759,2.4,17.462269,13.998951,2.33,9.383657
2013-01-24,13.093673,16.998711,10.496337,14.98923,14.283786,17.708349,13.594478,14.810578,114.576553,39.117428,8.040112,15.037542,24.24782,14.890524,17.431545,15.879337,15.709511,40.467083,17.799999,12.095818,20.030521,22.834328,16.46483,23.080042,14.28946,16.435549,22.180256,36.551224,2.4,17.462269,14.035664,2.25,9.460414
2013-01-25,13.05913,16.990988,10.453817,14.968195,14.26377,17.699272,13.594478,14.880111,113.654457,39.510262,8.106284,15.044643,24.23621,14.883174,17.452663,15.699508,15.641649,40.663513,17.610001,12.125738,19.97826,22.775816,16.434454,23.098661,14.434883,16.059303,22.172571,36.969074,2,17.382759,14.041976,2.44,9.466807
2013-01-28,12.955483,17.045057,10.447743,14.940154,14.337164,17.841522,13.601807,14.871421,113.289268,39.489574,7.896734,15.058832,24.392847,14.875813,17.537197,15.573622,15.600937,40.99749,16.27,12.125738,19.969557,22.739246,16.419279,23.126595,14.373653,15.930829,22.157171,35.409973,2.3,17.335051,14.092605,2.5,9.41564
2013-01-29,13.033217,17.068226,10.405226,14.912113,14.397204,17.841522,13.609134,14.949646,111.992889,39.65498,7.731299,15.044643,24.363829,14.905214,17.51605,15.654548,15.573796,40.93853,15.71,12.140698,19.986973,22.724613,16.381296,23.13592,14.419571,16.09601,22.149475,36.295109,2.3,17.382759,14.111586,2.44,9.383657
2013-01-30,13.024578,17.068226,10.423446,14.905109,14.350498,17.817312,13.550534,14.871421,111.381187,39.473042,7.676154,14.980777,24.256525,14.853773,17.501957,15.627572,15.539872,40.990921,13.86,12.103298,19.986973,22.724613,16.388895,23.173176,14.388957,16.022602,22.164865,35.74696,2.3,17.438425,14.073619,2.39,9.358071
2013-01-31,13.007306,16.944656,10.453817,14.926127,14.223744,17.750721,13.411369,14.854036,114.110924,39.584682,7.554836,14.853035,24.131804,14.758226,17.41041,15.447735,15.526284,40.676628,12.92,11.991094,19.804089,22.73193,16.388895,23.173176,14.35069,15.829887,22.164865,35.976105,2.2,17.406618,13.997683,2.44,9.210949
2013-02-01,13.154136,16.944656,10.48419,14.912113,14.2104,17.826391,13.513913,14.984406,112.741516,39.572285,7.543807,14.916906,24.244913,14.846419,17.438578,15.537652,15.417722,40.951637,13.01,12.065894,19.899887,22.65148,16.32814,23.052097,14.503764,16.022602,22.157171,35.998577,2.2,17.462269,14.067288,2.48,9.236538
2013-02-04,13.041853,16.890589,10.435597,14.912113,14.163694,17.738617,13.44067,14.827964,113.34407,39.344841,7.764387,14.874318,24.024488,14.780275,17.332943,15.537652,15.465218,40.735561,14.99,12.006052,19.838923,22.702675,16.373701,22.986895,14.258847,16.059303,22.164865,36.465858,2.1,17.406618,13.972373,2.43,9.198158
2013-02-05,13.041853,16.952375,10.502408,14.891074,14.257093,17.741646,13.469965,14.967028,113.197983,39.485439,7.973937,14.931102,23.998381,14.802319,17.332943,15.50169,15.438076,40.624237,15.94,12.088336,19.838923,22.673424,16.335728,23.191803,14.35069,15.985893,22.172571,36.636585,2.1,17.446375,14.041976,2.45,9.281314
2013-02-06,13.05049,16.97555,10.478117,14.912113,14.2104,17.808224,13.513913,14.993108,113.271027,39.77903,7.984965,14.959483,23.960672,14.853773,17.417458,15.537652,15.478791,41.036762,15.98,11.998571,19.821501,22.724613,16.381296,23.42465,14.404265,16.031773,22.180256,37.081409,2.2,17.462269,14.079956,2.45,9.217351
2013-02-07,13.067766,16.944656,10.502408,14.919115,14.237083,17.774937,13.469965,14.967028,112.294167,39.795559,8.084227,14.916906,23.905561,14.817022,17.403353,15.546638,15.465218,41.030209,16.91,11.923766,19.821501,22.68804,16.366108,23.722694,14.335382,16.08684,22.172571,36.847771,2.1,17.470222,14.05463,2.44,9.306898
2013-02-08,13.128224,16.983271,10.472043,14.947163,14.096981,17.844545,13.550534,15.053944,112.823685,40.448906,8.139371,14.959483,24.021585,14.875813,17.494923,15.555635,15.546653,41.180824,16.51,11.968651,19.96085,22.739246,16.388895,23.769264,14.388957,16.08684,22.211071,36.996025,1.9,17.517946,14.105254,2.35,9.492396
2013-02-11,13.041853,16.913763,10.465969,14.940154,13.970225,17.787045,13.506587,15.053944,110.468231,40.65152,8.095255,14.959483,24.00128,14.831717,17.530153,15.321851,15.505938,41.285583,15.76,11.953689,19.865047,22.753887,16.396482,23.685442,14.434883,15.765651,22.211071,37.031982,1.9,17.446375,14.092605,2.27,9.773842
2013-02-12,13.05049,16.929209,10.520633,14.947163,13.923525,17.729536,13.550534,15.071326,110.23996,40.895493,8.018052,14.916906,24.00128,14.868467,17.523098,15.35782,15.444858,41.252861,15.25,12.058413,19.804089,22.709984,16.350927,23.685442,14.465497,15.839063,22.187975,37.130821,1.9,17.462269,14.111586,2.34,9.8506
2013-02-13,12.998665,16.929209,10.496337,14.933133,13.983568,17.802179,13.535889,15.088711,110.048264,41.118782,7.797473,14.945293,24.169502,14.846419,17.565359,15.186975,15.38379,41.495125,14,12.088336,19.804089,22.673424,16.32814,23.610928,14.511423,15.572937,22.195671,37.261127,1.9,17.454329,14.136898,2.35,9.729067
2013-02-14,12.912298,16.859705,10.508483,14.940154,13.876816,17.771908,13.469965,15.106094,106.816399,41.073299,7.819531,14.931102,24.160797,14.78762,17.537197,15.22294,15.451646,41.501686,15.05,11.901325,19.786663,22.717306,16.366108,23.517784,14.465497,15.627995,22.187975,37.256645,1.9,17.414566,14.092605,2.31,9.831409
2013-02-15,12.808653,16.86742,10.48419,14.940154,13.803433,17.708349,13.433341,15.080019,109.55526,41.594311,7.753357,14.945293,24.215908,14.736171,17.55127,14.890249,15.424502,41.449291,14.23,11.848965,19.786663,22.695362,16.350927,23.601618,14.442536,15.150809,22.211071,36.681519,1.9,17.382759,14.086277,2.4,10.012041
2013-02-19,12.834562,16.960104,10.508483,14.95418,13.936868,17.902054,13.57983,15.210392,106.122543,41.9706,7.841589,15.065928,24.497261,14.890524,17.762556,14.863274,15.424502,42.189228,14.57,11.953689,19.77796,22.680738,16.32814,23.82515,14.618569,15.086572,22.226461,38.078865,1.9,17.430473,14.276122,2.45,10.018492
2013-02-20,12.575458,17.014158,10.49026,14.95418,13.883492,18.162336,13.484615,15.019176,105.18219,41.606716,7.742328,15.009157,24.566862,14.750872,17.762556,14.341759,15.431283,42.228512,13.95,11.871401,19.751835,22.709984,16.34333,23.666809,14.572651,14.425844,22.226461,37.184746,1.8,17.239618,14.206506,2.43,9.799158
2013-02-21,12.514997,16.913763,10.500631,14.951358,14.065591,18.135101,13.411369,14.914879,107.510262,41.408237,7.698212,14.959483,24.453747,14.684727,17.690529,14.413687,15.467372,41.88147,14.13,11.759201,19.481857,22.763527,16.398136,23.694756,14.388957,14.618558,22.224148,37.494774,1.8,17.183968,14.148091,2.32,9.683037
2013-02-22,12.610002,16.967825,10.506727,15.007617,14.159312,18.262213,13.47729,15.053944,108.870529,41.366879,7.62101,15.030453,24.433453,14.772921,17.775272,14.377727,15.555875,42.071358,13.48,11.893844,19.551529,22.807524,16.420992,23.741325,14.587958,14.646086,22.255022,37.171272,1.9,17.311193,14.217945,2.34,9.773353
2013-02-25,12.653187,17.021885,10.482335,15.042788,14.065591,18.21681,13.426016,14.784502,109.893089,41.308998,7.665126,15.002064,24.230415,14.706774,17.641081,14.539573,15.651176,41.639179,13.48,11.774159,19.847628,22.888197,16.481882,23.517784,14.243541,14.976451,22.2936,36.23671,1.9,17.319138,14.141742,2.37,9.57337
